raceId,Team,kaggle_driver_id,position,participated_q2,participated_q3,q1_time_sec,q2_time_sec,q3_time_sec,Track
1031,Mercedes,822,1,1,1,64.111,63.015,62.939,Austria
1031,Mercedes,1,2,1,1,64.19800000000001,63.096000000000004,62.951,Austria
1031,Red Bull Racing,830,3,1,1,64.024,64.0,63.477,Austria
1031,McLaren,846,4,1,1,64.606,63.819,63.626,Austria
1031,Red Bull Racing,848,5,1,1,64.661,63.746,63.868,Austria
1031,Racing Point,815,6,1,1,64.543,63.86,63.868,Austria
1031,Ferrari,844,7,1,1,64.5,64.041,63.923,Austria
1031,McLaren,832,8,1,1,64.537,63.971000000000004,63.971000000000004,Austria
1031,Racing Point,840,9,1,1,64.309,63.955,64.029,Austria
1031,Renault,817,10,1,1,64.556,64.023,64.239,Austria
1031,Ferrari,20,11,1,0,64.554,64.206,,Austria
1031,AlphaTauri,842,12,1,0,64.603,64.305,,Austria
1031,AlphaTauri,826,13,1,0,65.031,64.431,,Austria
1031,Renault,839,14,1,0,64.93299999999999,64.643,,Austria
1031,Haas,154,15,1,0,65.094,64.691,,Austria
1031,Haas,825,16,0,0,65.164,,,Austria
1031,Williams,847,17,0,0,65.167,,,Austria
1031,Alfa Romeo,841,18,0,0,65.175,,,Austria
1031,Alfa Romeo,8,19,0,0,65.224,,,Austria
1031,Williams,849,20,0,0,65.757,,,Austria
1032,Mercedes,1,1,1,1,78.188,77.825,79.273,Styria
1032,Red Bull Racing,830,2,1,1,78.297,77.938,80.489,Styria
1032,McLaren,832,3,1,1,78.59,78.836,80.67099999999999,Styria
1032,Mercedes,822,4,1,1,78.791,78.657,80.701,Styria
1032,Renault,839,5,1,1,79.687,78.764,80.922,Styria
1032,McLaren,846,6,1,1,78.504,78.44800000000001,80.925,Styria
1032,Red Bull Racing,848,7,1,1,80.882,79.014,81.011,Styria
1032,AlphaTauri,842,8,1,1,80.19200000000001,78.744,81.02799999999999,Styria
1032,Renault,817,9,1,1,79.662,79.229,81.19200000000001,Styria
1032,Ferrari,20,10,1,1,80.243,79.545,81.651,Styria
1032,Ferrari,844,11,1,0,80.871,79.628,,Styria
1032,Williams,847,12,1,0,80.382,79.636,,Styria
1032,Racing Point,840,13,1,0,79.697,79.645,,Styria
1032,AlphaTauri,826,14,1,0,79.824,79.717,,Styria
1032,Haas,825,15,1,0,81.14,80.211,,Styria
1032,Alfa Romeo,8,16,0,0,81.14,,,Styria
1032,Racing Point,815,17,0,0,81.607,,,Styria
1032,Williams,849,18,0,0,81.759,,,Styria
1032,Alfa Romeo,841,19,0,0,81.831,,,Styria
1032,Haas,154,20,0,0,,,,Styria
1033,Mercedes,822,2,1,1,75.474,74.53,73.554,Hungary
1033,Racing Point,840,3,1,1,74.895,75.176,74.377,Hungary
1033,Racing Point,815,4,1,1,74.681,75.394,74.545,Hungary
1033,Ferrari,20,5,1,1,75.455,75.131,74.774,Hungary
1033,Ferrari,844,6,1,1,75.793,75.006,74.81700000000001,Hungary
